uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
PA,COVID,HOSPITAL,"20 - 29",F,9
PA,COVID,HOSPITAL,"20 - 29",M,10
PA,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,3
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,5
PA,PNEUMONIA,DOMICILIO,"20 - 29",M,1
PA,PNEUMONIA,HOSPITAL,"20 - 29",F,3
PA,PNEUMONIA,HOSPITAL,"20 - 29",M,9
PA,SEPTICEMIA,DOMICILIO,"20 - 29",F,1
PA,SEPTICEMIA,HOSPITAL,"20 - 29",F,8
PA,SEPTICEMIA,HOSPITAL,"20 - 29",M,6
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PA,SRAG,HOSPITAL,"20 - 29",F,1
PA,SRAG,HOSPITAL,"20 - 29",M,1
PB,OUTRAS,DOMICILIO,"20 - 29",F,3
PB,OUTRAS,DOMICILIO,"20 - 29",M,5
PB,OUTRAS,HOSPITAL,"20 - 29",F,10
PB,OUTRAS,HOSPITAL,"20 - 29",M,18
PB,OUTRAS,OUTRO,"20 - 29",M,2
PB,OUTRAS,VIA_PUBLICA,"20 - 29",M,8
PB,COVID,HOSPITAL,"20 - 29",F,6
PB,COVID,HOSPITAL,"20 - 29",M,6
PB,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PB,INDETERMINADA,DOMICILIO,"20 - 29",F,1
PB,INDETERMINADA,DOMICILIO,"20 - 29",M,1
PB,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,3
PB,PNEUMONIA,HOSPITAL,"20 - 29",F,2
PB,PNEUMONIA,HOSPITAL,"20 - 29",M,2
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
PB,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
PB,SEPTICEMIA,HOSPITAL,"20 - 29",M,6
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PB,SRAG,HOSPITAL,"20 - 29",F,1
PB,SRAG,HOSPITAL,"20 - 29",M,2
PE,OUTRAS,DOMICILIO,"20 - 29",F,13
PE,OUTRAS,DOMICILIO,"20 - 29",M,22
PE,OUTRAS,HOSPITAL,"20 - 29",F,18
PE,OUTRAS,HOSPITAL,"20 - 29",M,75
PE,OUTRAS,IGNORADO,"20 - 29",F,2
PE,OUTRAS,IGNORADO,"20 - 29",M,3
PE,OUTRAS,OUTRO,"20 - 29",F,5
PE,OUTRAS,OUTRO,"20 - 29",M,22
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,10
PE,OUTRAS,VIA_PUBLICA,"20 - 29",F,3
PE,OUTRAS,VIA_PUBLICA,"20 - 29",M,59
PE,COVID,HOSPITAL,"20 - 29",F,13
PE,COVID,HOSPITAL,"20 - 29",M,10
PE,INDETERMINADA,HOSPITAL,"20 - 29",M,3
PE,INDETERMINADA,OUTRO,"20 - 29",M,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,5
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,3
PE,PNEUMONIA,DOMICILIO,"20 - 29",F,1
PE,PNEUMONIA,HOSPITAL,"20 - 29",F,9
PE,PNEUMONIA,HOSPITAL,"20 - 29",M,10
PE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PE,SEPTICEMIA,DOMICILIO,"20 - 29",F,2
PE,SEPTICEMIA,HOSPITAL,"20 - 29",F,9
PE,SEPTICEMIA,HOSPITAL,"20 - 29",M,33
PE,SRAG,DOMICILIO,"20 - 29",M,1
PE,SRAG,HOSPITAL,"20 - 29",F,4
PE,SRAG,HOSPITAL,"20 - 29",M,4
PE,SRAG,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PI,OUTRAS,DOMICILIO,"20 - 29",F,1
PI,OUTRAS,DOMICILIO,"20 - 29",M,2
PI,OUTRAS,HOSPITAL,"20 - 29",F,3
PI,OUTRAS,HOSPITAL,"20 - 29",M,9
PI,OUTRAS,OUTRO,"20 - 29",F,1
PI,OUTRAS,OUTRO,"20 - 29",M,2
PI,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
PI,COVID,HOSPITAL,"20 - 29",F,1
PI,COVID,HOSPITAL,"20 - 29",M,4
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,2
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,1
PI,INSUFICIENCIA_RESPIRATORIA,OUTRO,"20 - 29",M,1
PI,PNEUMONIA,HOSPITAL,"20 - 29",F,1
PI,SEPTICEMIA,HOSPITAL,"20 - 29",F,3
PI,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
PR,OUTRAS,DOMICILIO,"20 - 29",F,10
PR,OUTRAS,DOMICILIO,"20 - 29",M,36
PR,OUTRAS,HOSPITAL,"20 - 29",F,33
PR,OUTRAS,HOSPITAL,"20 - 29",M,57
PR,OUTRAS,OUTRO,"20 - 29",F,5
PR,OUTRAS,OUTRO,"20 - 29",M,36
PR,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,6
PR,OUTRAS,VIA_PUBLICA,"20 - 29",F,7
PR,OUTRAS,VIA_PUBLICA,"20 - 29",I,1
PR,OUTRAS,VIA_PUBLICA,"20 - 29",M,59
PR,COVID,DOMICILIO,"20 - 29",F,1
PR,COVID,HOSPITAL,"20 - 29",F,22
PR,COVID,HOSPITAL,"20 - 29",M,46
PR,COVID,OUTRO,"20 - 29",M,1
PR,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,4
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,6
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PR,PNEUMONIA,DOMICILIO,"20 - 29",F,1
PR,PNEUMONIA,DOMICILIO,"20 - 29",M,1
PR,PNEUMONIA,HOSPITAL,"20 - 29",F,5
PR,PNEUMONIA,HOSPITAL,"20 - 29",M,14
PR,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
PR,SEPTICEMIA,DOMICILIO,"20 - 29",M,1
PR,SEPTICEMIA,HOSPITAL,"20 - 29",F,8
PR,SEPTICEMIA,HOSPITAL,"20 - 29",M,11
RJ,OUTRAS,DOMICILIO,"20 - 29",F,16
RJ,OUTRAS,DOMICILIO,"20 - 29",M,31
RJ,OUTRAS,HOSPITAL,"20 - 29",F,53
RJ,OUTRAS,HOSPITAL,"20 - 29",M,167
RJ,OUTRAS,OUTRO,"20 - 29",F,3
RJ,OUTRAS,OUTRO,"20 - 29",M,27
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,17
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,36
RJ,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
RJ,OUTRAS,VIA_PUBLICA,"20 - 29",I,1
RJ,OUTRAS,VIA_PUBLICA,"20 - 29",M,47
RJ,COVID,HOSPITAL,"20 - 29",F,34
RJ,COVID,HOSPITAL,"20 - 29",M,32
RJ,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",F,4
RJ,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
RJ,INDETERMINADA,DOMICILIO,"20 - 29",M,1
RJ,INDETERMINADA,HOSPITAL,"20 - 29",F,3
RJ,INDETERMINADA,HOSPITAL,"20 - 29",M,3
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,2
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,11
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,12
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,5
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,3
RJ,PNEUMONIA,DOMICILIO,"20 - 29",M,1
RJ,PNEUMONIA,HOSPITAL,"20 - 29",F,21
RJ,PNEUMONIA,HOSPITAL,"20 - 29",M,29
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,6
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",F,32
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",M,25
RJ,SEPTICEMIA,OUTRO,"20 - 29",M,1
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,2
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
RJ,SRAG,HOSPITAL,"20 - 29",F,2
RN,OUTRAS,DOMICILIO,"20 - 29",F,3
RN,OUTRAS,DOMICILIO,"20 - 29",M,8
RN,OUTRAS,HOSPITAL,"20 - 29",F,5
RN,OUTRAS,HOSPITAL,"20 - 29",M,16
RN,OUTRAS,OUTRO,"20 - 29",M,4
RN,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RN,OUTRAS,VIA_PUBLICA,"20 - 29",M,4
RN,COVID,HOSPITAL,"20 - 29",F,7
RN,COVID,HOSPITAL,"20 - 29",M,4
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
RN,PNEUMONIA,HOSPITAL,"20 - 29",F,1
RN,PNEUMONIA,HOSPITAL,"20 - 29",M,2
RN,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RN,SEPTICEMIA,DOMICILIO,"20 - 29",M,1
RN,SEPTICEMIA,HOSPITAL,"20 - 29",F,3
RN,SEPTICEMIA,HOSPITAL,"20 - 29",M,4
RO,OUTRAS,DOMICILIO,"20 - 29",F,3
RO,OUTRAS,DOMICILIO,"20 - 29",M,6
RO,OUTRAS,HOSPITAL,"20 - 29",F,5
RO,OUTRAS,HOSPITAL,"20 - 29",M,15
RO,OUTRAS,OUTRO,"20 - 29",M,2
RO,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
RO,OUTRAS,VIA_PUBLICA,"20 - 29",M,6
RO,COVID,HOSPITAL,"20 - 29",F,9
RO,COVID,HOSPITAL,"20 - 29",M,12
RO,COVID,VIA_PUBLICA,"20 - 29",F,1
RO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
RO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,2
RO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,1
RO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RO,PNEUMONIA,HOSPITAL,"20 - 29",F,2
RO,PNEUMONIA,HOSPITAL,"20 - 29",M,3
RO,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
RO,SEPTICEMIA,HOSPITAL,"20 - 29",M,9
RR,OUTRAS,DOMICILIO,"20 - 29",M,2
RR,OUTRAS,HOSPITAL,"20 - 29",F,2
RR,OUTRAS,HOSPITAL,"20 - 29",M,5
RR,OUTRAS,OUTRO,"20 - 29",M,2
RR,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
RR,COVID,HOSPITAL,"20 - 29",F,2
RR,COVID,HOSPITAL,"20 - 29",M,1
RR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
RR,PNEUMONIA,HOSPITAL,"20 - 29",F,2
RR,PNEUMONIA,HOSPITAL,"20 - 29",M,2
RR,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
RR,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
RS,OUTRAS,DOMICILIO,"20 - 29",F,14
RS,OUTRAS,DOMICILIO,"20 - 29",M,14
RS,OUTRAS,HOSPITAL,"20 - 29",F,26
RS,OUTRAS,HOSPITAL,"20 - 29",M,37
RS,OUTRAS,IGNORADO,"20 - 29",F,1
RS,OUTRAS,IGNORADO,"20 - 29",M,2
RS,OUTRAS,OUTRO,"20 - 29",F,2
RS,OUTRAS,OUTRO,"20 - 29",M,6
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,3
RS,OUTRAS,VIA_PUBLICA,"20 - 29",M,4
RS,COVID,DOMICILIO,"20 - 29",M,2
RS,COVID,HOSPITAL,"20 - 29",F,41
RS,COVID,HOSPITAL,"20 - 29",M,43
RS,COVID,IGNORADO,"20 - 29",M,1
RS,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",F,4
RS,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
RS,INDETERMINADA,DOMICILIO,"20 - 29",M,1
RS,INDETERMINADA,HOSPITAL,"20 - 29",F,1
RS,INDETERMINADA,HOSPITAL,"20 - 29",M,1
RS,INDETERMINADA,OUTRO,"20 - 29",F,1
RS,INDETERMINADA,VIA_PUBLICA,"20 - 29",M,1
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,5
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,7
RS,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RS,PNEUMONIA,DOMICILIO,"20 - 29",M,1
RS,PNEUMONIA,HOSPITAL,"20 - 29",F,17
RS,PNEUMONIA,HOSPITAL,"20 - 29",M,8
RS,PNEUMONIA,IGNORADO,"20 - 29",M,1
RS,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RS,SEPTICEMIA,HOSPITAL,"20 - 29",F,11
RS,SEPTICEMIA,HOSPITAL,"20 - 29",M,19
SC,OUTRAS,DOMICILIO,"20 - 29",F,8
SC,OUTRAS,DOMICILIO,"20 - 29",M,13
SC,OUTRAS,HOSPITAL,"20 - 29",F,16
SC,OUTRAS,HOSPITAL,"20 - 29",M,36
SC,OUTRAS,OUTRO,"20 - 29",M,9
SC,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SC,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
SC,OUTRAS,VIA_PUBLICA,"20 - 29",M,12
SC,COVID,HOSPITAL,"20 - 29",F,17
SC,COVID,HOSPITAL,"20 - 29",M,20
SC,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",F,2
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,6
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,1
SC,PNEUMONIA,HOSPITAL,"20 - 29",F,6
SC,PNEUMONIA,HOSPITAL,"20 - 29",M,6
SC,SEPTICEMIA,HOSPITAL,"20 - 29",F,3
SC,SEPTICEMIA,HOSPITAL,"20 - 29",M,7
SE,OUTRAS,DOMICILIO,"20 - 29",F,2
SE,OUTRAS,DOMICILIO,"20 - 29",M,2
SE,OUTRAS,HOSPITAL,"20 - 29",F,2
SE,OUTRAS,HOSPITAL,"20 - 29",M,17
SE,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,4
SE,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
SE,OUTRAS,VIA_PUBLICA,"20 - 29",M,5
SE,COVID,HOSPITAL,"20 - 29",F,4
SE,COVID,HOSPITAL,"20 - 29",M,2
SE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
SE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SE,PNEUMONIA,HOSPITAL,"20 - 29",F,1
SE,PNEUMONIA,HOSPITAL,"20 - 29",M,2
SE,SEPTICEMIA,HOSPITAL,"20 - 29",M,4
SP,OUTRAS,AMBULANCIA,"20 - 29",F,1
SP,OUTRAS,DOMICILIO,"20 - 29",F,33
SP,OUTRAS,DOMICILIO,"20 - 29",I,1
SP,OUTRAS,DOMICILIO,"20 - 29",M,117
SP,OUTRAS,HOSPITAL,"20 - 29",F,161
SP,OUTRAS,HOSPITAL,"20 - 29",I,1
SP,OUTRAS,HOSPITAL,"20 - 29",M,375
SP,OUTRAS,IGNORADO,"20 - 29",F,1
SP,OUTRAS,IGNORADO,"20 - 29",I,5
SP,OUTRAS,IGNORADO,"20 - 29",M,5
SP,OUTRAS,OUTRO,"20 - 29",F,14
SP,OUTRAS,OUTRO,"20 - 29",M,64
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,13
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,34
SP,OUTRAS,POSTO_SAUDE,"20 - 29",M,2
SP,OUTRAS,VIA_PUBLICA,"20 - 29",F,13
SP,OUTRAS,VIA_PUBLICA,"20 - 29",M,149
SP,COVID,DOMICILIO,"20 - 29",F,1
SP,COVID,DOMICILIO,"20 - 29",M,2
SP,COVID,HOSPITAL,"20 - 29",F,105
SP,COVID,HOSPITAL,"20 - 29",M,140
SP,COVID,OUTRO,"20 - 29",F,2
SP,COVID,OUTRO,"20 - 29",M,4
SP,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SP,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,3
SP,INDETERMINADA,DOMICILIO,"20 - 29",M,3
SP,INDETERMINADA,HOSPITAL,"20 - 29",F,3
SP,INDETERMINADA,HOSPITAL,"20 - 29",M,7
SP,INDETERMINADA,OUTRO,"20 - 29",F,1
SP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,3
SP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,4
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,27
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,30
SP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"20 - 29",F,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"20 - 29",M,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,5
SP,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"20 - 29",F,2
SP,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"20 - 29",M,1
SP,PNEUMONIA,DOMICILIO,"20 - 29",F,2
SP,PNEUMONIA,DOMICILIO,"20 - 29",M,2
SP,PNEUMONIA,HOSPITAL,"20 - 29",F,41
SP,PNEUMONIA,HOSPITAL,"20 - 29",M,72
SP,PNEUMONIA,OUTRO,"20 - 29",F,1
SP,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SP,PNEUMONIA,POSTO_SAUDE,"20 - 29",M,1
SP,SEPTICEMIA,DOMICILIO,"20 - 29",M,1
SP,SEPTICEMIA,HOSPITAL,"20 - 29",F,59
SP,SEPTICEMIA,HOSPITAL,"20 - 29",M,71
SP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
SP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
SP,SRAG,HOSPITAL,"20 - 29",F,5
SP,SRAG,HOSPITAL,"20 - 29",M,3
TO,OUTRAS,DOMICILIO,"20 - 29",F,4
TO,OUTRAS,DOMICILIO,"20 - 29",M,6
TO,OUTRAS,HOSPITAL,"20 - 29",F,1
TO,OUTRAS,HOSPITAL,"20 - 29",M,4
TO,OUTRAS,OUTRO,"20 - 29",M,5
TO,OUTRAS,VIA_PUBLICA,"20 - 29",M,3
TO,COVID,HOSPITAL,"20 - 29",F,5
TO,PNEUMONIA,HOSPITAL,"20 - 29",F,1
TO,PNEUMONIA,HOSPITAL,"20 - 29",M,2
TO,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
AC,OUTRAS,DOMICILIO,"30 - 39",F,4
AC,OUTRAS,DOMICILIO,"30 - 39",M,9
AC,OUTRAS,HOSPITAL,"30 - 39",F,7
AC,OUTRAS,HOSPITAL,"30 - 39",M,6
AC,OUTRAS,OUTRO,"30 - 39",F,1
AC,OUTRAS,OUTRO,"30 - 39",M,4
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
AC,OUTRAS,VIA_PUBLICA,"30 - 39",M,2
AC,COVID,HOSPITAL,"30 - 39",F,12
AC,COVID,HOSPITAL,"30 - 39",M,18
AC,INDETERMINADA,OUTRO,"30 - 39",M,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",F,1
AC,PNEUMONIA,HOSPITAL,"30 - 39",F,2
AC,PNEUMONIA,HOSPITAL,"30 - 39",M,3
AC,SEPTICEMIA,HOSPITAL,"30 - 39",F,2
AC,SEPTICEMIA,HOSPITAL,"30 - 39",M,4
AC,SRAG,HOSPITAL,"30 - 39",F,1
AC,SRAG,HOSPITAL,"30 - 39",M,1
AL,OUTRAS,DOMICILIO,"30 - 39",F,13
AL,OUTRAS,DOMICILIO,"30 - 39",M,20
AL,OUTRAS,HOSPITAL,"30 - 39",F,12
AL,OUTRAS,HOSPITAL,"30 - 39",M,36
AL,OUTRAS,IGNORADO,"30 - 39",M,1
AL,OUTRAS,OUTRO,"30 - 39",M,3
AL,OUTRAS,VIA_PUBLICA,"30 - 39",F,4
AL,OUTRAS,VIA_PUBLICA,"30 - 39",M,14
AL,COVID,DOMICILIO,"30 - 39",F,1
AL,COVID,DOMICILIO,"30 - 39",M,1
AL,COVID,HOSPITAL,"30 - 39",F,16
AL,COVID,HOSPITAL,"30 - 39",M,26
AL,INDETERMINADA,DOMICILIO,"30 - 39",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,5
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
AL,INSUFICIENCIA_RESPIRATORIA,OUTRO,"30 - 39",M,2
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
AL,PNEUMONIA,DOMICILIO,"30 - 39",M,1
AL,PNEUMONIA,HOSPITAL,"30 - 39",M,1
AL,SEPTICEMIA,DOMICILIO,"30 - 39",M,1
AL,SEPTICEMIA,HOSPITAL,"30 - 39",F,5
AL,SEPTICEMIA,HOSPITAL,"30 - 39",M,7
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
AL,SRAG,DOMICILIO,"30 - 39",M,1
AL,SRAG,HOSPITAL,"30 - 39",F,4
AM,OUTRAS,DOMICILIO,"30 - 39",F,10
AM,OUTRAS,DOMICILIO,"30 - 39",M,17
AM,OUTRAS,HOSPITAL,"30 - 39",F,22
AM,OUTRAS,HOSPITAL,"30 - 39",M,48
AM,OUTRAS,OUTRO,"30 - 39",F,3
AM,OUTRAS,OUTRO,"30 - 39",M,7
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
AM,OUTRAS,VIA_PUBLICA,"30 - 39",F,2
AM,OUTRAS,VIA_PUBLICA,"30 - 39",M,12
AM,COVID,DOMICILIO,"30 - 39",F,5
AM,COVID,DOMICILIO,"30 - 39",M,6
AM,COVID,HOSPITAL,"30 - 39",F,101
AM,COVID,HOSPITAL,"30 - 39",M,143
AM,COVID,OUTRO,"30 - 39",F,6
AM,COVID,OUTRO,"30 - 39",M,2
AM,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
AM,INDETERMINADA,OUTRO,"30 - 39",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
AM,PNEUMONIA,DOMICILIO,"30 - 39",M,1
AM,PNEUMONIA,HOSPITAL,"30 - 39",F,10
AM,PNEUMONIA,HOSPITAL,"30 - 39",M,18
AM,PNEUMONIA,OUTRO,"30 - 39",F,2
AM,PNEUMONIA,OUTRO,"30 - 39",M,1
AM,SEPTICEMIA,DOMICILIO,"30 - 39",M,1
AM,SEPTICEMIA,HOSPITAL,"30 - 39",F,7
AM,SEPTICEMIA,HOSPITAL,"30 - 39",M,10
AM,SEPTICEMIA,VIA_PUBLICA,"30 - 39",M,1
AM,SRAG,DOMICILIO,"30 - 39",M,2
AM,SRAG,HOSPITAL,"30 - 39",F,11
AM,SRAG,HOSPITAL,"30 - 39",M,16
AP,OUTRAS,DOMICILIO,"30 - 39",M,1
AP,OUTRAS,HOSPITAL,"30 - 39",F,5
AP,OUTRAS,HOSPITAL,"30 - 39",M,6
AP,OUTRAS,IGNORADO,"30 - 39",M,1
AP,OUTRAS,OUTRO,"30 - 39",M,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
AP,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
AP,COVID,HOSPITAL,"30 - 39",F,5
AP,COVID,HOSPITAL,"30 - 39",M,1
AP,COVID,POSTO_SAUDE,"30 - 39",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
AP,PNEUMONIA,HOSPITAL,"30 - 39",F,1
AP,PNEUMONIA,HOSPITAL,"30 - 39",M,2
AP,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AP,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
BA,OUTRAS,DOMICILIO,"30 - 39",F,41
BA,OUTRAS,DOMICILIO,"30 - 39",M,69
BA,OUTRAS,HOSPITAL,"30 - 39",F,92
BA,OUTRAS,HOSPITAL,"30 - 39",M,118
BA,OUTRAS,IGNORADO,"30 - 39",F,1
BA,OUTRAS,IGNORADO,"30 - 39",M,5
BA,OUTRAS,OUTRO,"30 - 39",F,3
BA,OUTRAS,OUTRO,"30 - 39",M,22
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,10
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,17
BA,OUTRAS,VIA_PUBLICA,"30 - 39",F,4
BA,OUTRAS,VIA_PUBLICA,"30 - 39",M,29
BA,COVID,DOMICILIO,"30 - 39",F,2
BA,COVID,DOMICILIO,"30 - 39",M,4
BA,COVID,HOSPITAL,"30 - 39",F,62
BA,COVID,HOSPITAL,"30 - 39",M,74
BA,COVID,OUTRO,"30 - 39",F,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,7
BA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,9
BA,COVID,VIA_PUBLICA,"30 - 39",M,2
BA,INDETERMINADA,DOMICILIO,"30 - 39",F,1
